datum;verein_kuerzel;dienst_typ;bereich_name;taetigkeit_name;von_zeit;bis_zeit;anzahl_personen;splittbar;admin_only;besonderheiten
2026-07-03;SCJ;dienst;Aufbau;Aufbau (Zelt);14:00:00;18:00:00;1;0;0;Nur Zeltaufbau
2026-07-03;GVE;dienst;Aufbau;Aufbau (Zelt);14:00:00;18:00:00;1;0;0;Nur Zeltaufbau
2026-07-03;FFW;dienst;Aufbau;Aufbau (Zelt);14:00:00;18:00:00;1;0;0;Nur Zeltaufbau
2026-07-03;TVW;dienst;Aufbau;Aufbau (Zelt);14:00:00;18:00:00;1;0;0;Nur Zeltaufbau
2026-07-03;SCJ;dienst;Aufbau;Aufbau (Zelt);14:00:00;18:00:00;1;0;0;Nur Zeltaufbau
2026-07-03;GVE;dienst;Aufbau;Aufbau (Zelt);14:00:00;18:00:00;1;0;0;Nur Zeltaufbau
2026-07-03;FFW;dienst;Aufbau;Aufbau (Zelt);14:00:00;18:00:00;1;0;0;Nur Zeltaufbau
2026-07-03;TVW;dienst;Aufbau;Aufbau (Zelt);14:00:00;18:00:00;1;0;0;Nur Zeltaufbau
2026-07-03;SCJ;dienst;Aufbau;Aufbau (Zelt);14:00:00;18:00:00;1;0;0;Nur Zeltaufbau
2026-07-03;GVE;dienst;Aufbau;Aufbau (Zelt);14:00:00;18:00:00;1;0;0;Nur Zeltaufbau
2026-07-03;FFW;dienst;Aufbau;Aufbau (Zelt);14:00:00;18:00:00;1;0;0;Nur Zeltaufbau
2026-07-03;TVW;dienst;Aufbau;Aufbau (Zelt);14:00:00;18:00:00;1;0;0;Nur Zeltaufbau
2026-07-03;SCJ;dienst;Aufbau;Aufbau (Zelt);14:00:00;18:00:00;1;0;0;Nur Zeltaufbau
2026-07-03;SCJ;dienst;Aufbau;Aufbau (Zelt);14:00:00;18:00:00;1;0;0;Nur Zeltaufbau
2026-07-03;TVW;dienst;Aufbau;Aufbau (Zelt);14:00:00;18:00:00;1;0;0;Nur Zeltaufbau
2026-07-03;GVE;dienst;Aufbau;Aufbau (Zelt);14:00:00;18:00:00;1;0;0;Nur Zeltaufbau
2026-07-03;TVW;dienst;Aufbau;Aufbau (Zelt);14:00:00;18:00:00;1;0;0;Nur Zeltaufbau
2026-07-03;GVE;dienst;Aufbau;Aufbau (Zelt);14:00:00;18:00:00;1;0;0;Nur Zeltaufbau
2026-07-03;FFW;dienst;Aufbau;Aufbau (Zelt);14:00:00;18:00:00;1;0;0;Nur Zeltaufbau
2026-07-04;VR;dienst;Betreuung;Betreuung Aufbau;09:30:00;17:30:00;1;0;0;Schichtleitung
2026-07-04;FFW;dienst;Aufbau;Aufbau (Zelt Innenbereich & Aussenbereich);10:00:00;14:00:00;1;0;0;Tische etc.
2026-07-04;FFW;dienst;Aufbau;Aufbau (Zelt Innenbereich & Aussenbereich);10:00:00;14:00:00;1;0;0;Tische etc.
2026-07-04;GVE;dienst;Aufbau;Aufbau (Zelt Innenbereich & Aussenbereich);10:00:00;14:00:00;1;0;0;Tische etc.
2026-07-04;GVE;dienst;Aufbau;Aufbau (Zelt Innenbereich & Aussenbereich);10:00:00;14:00:00;1;0;0;Tische etc.
2026-07-04;SCJ;dienst;Aufbau;Aufbau (Zelt Innenbereich & Aussenbereich);10:00:00;14:00:00;1;0;0;Tische etc.
2026-07-04;TVW;dienst;Aufbau;Aufbau (Zelt Innenbereich & Aussenbereich);10:00:00;14:00:00;1;0;0;Tische etc.
2026-07-04;SCJ;dienst;Aufbau;Aufbau (Zelt Innenbereich & Aussenbereich);10:00:00;14:00:00;1;0;0;Tische etc.
2026-07-04;TVW;dienst;Aufbau;Aufbau (Zelt Innenbereich & Aussenbereich);10:00:00;14:00:00;1;0;0;Tische etc.
2026-07-04;FFW;dienst;Aufbau;Aufbau (Zelt Innenbereich & Aussenbereich);14:00:00;18:00:00;1;0;0;Deko, Bestecke etc.
2026-07-04;GVE;dienst;Aufbau;Aufbau (Zelt Innenbereich & Aussenbereich);14:00:00;18:00:00;1;0;0;Deko, Bestecke etc.
2026-07-04;SCJ;dienst;Aufbau;Aufbau (Zelt Innenbereich & Aussenbereich);14:00:00;18:00:00;1;0;0;Deko, Bestecke etc.
2026-07-04;TVW;dienst;Aufbau;Aufbau (Zelt Innenbereich & Aussenbereich);14:00:00;18:00:00;1;0;0;Tische etc.
2026-07-04;VR;dienst;Betreuung;Aufsicht Küche;15:00:00;23:00:00;1;0;0;Schichtleitung
2026-07-04;FFW;dienst;Kalte Speisen;Vorbereitung (Salat & Sonder Speisen);15:00:00;19:00:00;1;0;0;Im Anschluss hilfe bei der Ausgabe
2026-07-04;GVE;dienst;Kalte Speisen;Vorbereitung (Salat & Sonder Speisen);15:00:00;19:00:00;1;0;0;ab 18:00 Grill
2026-07-04;GVE;dienst;Kalte Speisen;Vorbereitung (Salat & Sonder Speisen);15:00:00;19:00:00;1;0;0;ab 18:00 Grill
2026-07-04;VR;dienst;Betreuung;Aufsicht Getränke;17:00:00;01:30:00;1;0;0;Schichtleitung
2026-07-04;FFW;dienst;Warme Speisen;Zubereitung (Grill);17:00:00;21:00:00;1;0;0;Standaufbau und Ausgabe
2026-07-04;SCJ;dienst;Getränke;Getränkeausgabe (Wein & alkoholfrei);17:00:00;21:00:00;1;0;0;Ausgabe Cola Wein
2026-07-04;TVW;dienst;Kalte Speisen;Ausgabe (Salat & Sonder Speisen);17:00:00;21:00:00;1;0;0;anschliessend Grill bei Bedarf
2026-07-04;TVW;dienst;Warme Speisen;Zubereitung (Pommes);17:00:00;21:00:00;1;0;0;
2026-07-04;FFW;dienst;Getränke;Zapfen (Bier);17:30:00;21:30:00;1;0;0;
2026-07-04;GVE;dienst;Getränke;Ausgabe (Bier);17:30:00;21:30:00;1;0;0;Ausgabe Bier
2026-07-04;TVW;dienst;Warme Speisen;Ausgabe (Grill & Pommes);17:30:00;21:30:00;1;0;0;
2026-07-04;FFW;dienst;Getränke;Ausgabe (Bier);18:00:00;22:00:00;1;0;0;
2026-07-04;FFW;dienst;Getränke;Getränkeausgabe (Wein & alkoholfrei);18:00:00;22:00:00;1;0;0;
